2013-11-02,more fires 😔 #sydney #besafe #idontlike <URL>
2013-11-02,hundreds of automatic smoke alarms going off around #sydney due to #bushfire and backburning smoke haze . <URL>
2013-11-02,central ranges added to list of total fire bans for tomorrow . #nswfires
2013-11-02,much of nsw facing ' severe ' fire danger on sunday . #nswfires #climate <USR> <URL>
2013-11-02,rt <USR> : 2013 april : - 18 white people murdered . #ajstream #redoctober
2013-11-02,"<USR> haha a lot of fans from here live in nsw , are you safe from the fire ? :o"
2013-10-16,the bats are hot . #redoctober is apparent tonight
2013-10-16,<USR> you know what i like most about you ? you look good in red too . #cardinals #worldseriesbound #redoctober
2013-10-16,sydney news : high - rise fire closes cbd street - electrical fire in the basement of a building in the centre of syd . . . <URL>
2013-10-16,a hundred firefighters are battling a fire that ' s shut down parts of the sydney cbd <URL>
2013-10-16,sydney : all s / b lanes now open on #castlereaghst at park st after building fire . #bathurstst & #pittst remain closed . h …
2013-10-16,#gameover cards still leading the series 3 - 1 #whoopwhoop #redoctober
2013-10-16,these announcers are so upset . . . can you imagine if the dodgers won ? they would be jumping up and down ! #bias #birds #redoctober
2013-10-16,feels great to be a cardinals fan ! ! ! #cardinalnation #redoctober #winning <USR>
2013-10-16,huge cardinals win . 😁 #redoctober #postcards
2013-10-16,and that ' s a win ! 3 - 1 in the nlcs . go cards ! <USR> #stlcards #redoctober #cardinalnation
2013-10-16,the sydney morning > fierce cbd blaze causing traffic chaos - fire in a city high - rise building that has closed ba . . . <URL>
2013-10-16,sydney news : fierce cbd blaze causing traffic chaos - fire in a city high - rise building that has closed bathurst s . . . <URL>
2013-10-16,i love reading articles hating on the cardinals . it makes me love them that much more . #postcards #redoctober #12in13
2013-10-16,:) rt <USR> : <USR> two fires at sydney water and sydney aquatic centre within a week . when did fire develop a s …
2013-10-16,protect your family . nsw rural fire service holding public meeting myola touris park sat 16 nov 2pm to develop a community fire plan
2013-10-16,"hot , dry and windy conditions over much of nsw - please take care and observe the total fire bans if they apply . . . htt …"
2013-10-16,"high fire alert tomorrow , hitting temps of 34 in #sydney with strong winds , creating severe fire danger . <URL>"
2013-10-16,"#ajstream i ' m black , african , i understand #redoctober and its not only happening in south africa , with less violence though ."
2013-10-16,good news from washington and espn radio = a happy afternoon at work . #redoctober #boehnershutdown
2013-10-16,let ' s go cardinals ! #nlcs #redoctober #birds
2013-10-16,"65 fires in nsw , 25 uncontained . today will be challenging - hot and windy . stay up to date at <URL> #nswrfs  …"
2013-10-16,c10 fire safety engineer sydney <URL> #engjobs
2013-10-30,congratulations to the <USR> on raising just under $25k for the #nswbushfires appeal ! a fantastic effort . <URL>
2013-10-30,$5 billion privatisation plan to fire up nsw <URL> <USR> #transportreform
2013-10-28,"this is so , so true ! hats off to the men and women battling the blazes ! #nswfires ^ bs <URL>"
2013-10-28,"don ' t be a #tosser in the #riverina #cigarette-throwers max $5,500 fine total fire ban in - place , today oct28 southern & northern #nswfires"
2013-10-28,giving away 2 tix to game 5 of the #worldseries all you have to do is rt to qualify . go #cardinals #redoctober winner anno …
2013-10-28,giving away 2 tix to game 5 of the #worldseries all you have to do is rt to qualify . go #cardinals #redoctober winner anno …
2013-10-28,giving away 2 tix to game 5 of the #worldseries all you have to do is rt to qualify . go #cardinals #redoctober winner anno …
2013-10-28,giving away 2 tix to game 5 of the #worldseries all you have to do is rt to qualify . go #cardinals #redoctober winner anno …
2013-10-28,giving away 2 tix to game 5 of the #worldseries all you have to do is rt to qualify . go #cardinals #redoctober winner anno …
2013-10-28,giving away 2 tix to game 5 of the #worldseries all you have to do is rt to qualify . go #cardinals #redoctober winner anno …
2013-10-28,giving away 2 tix to game 5 of the #worldseries all you have to do is rt to qualify . go #cardinals #redoctober winner anno …
2013-10-28,giving away 2 tix to game 5 of the #worldseries all you have to do is rt to qualify . go #cardinals #redoctober winner anno …
2013-10-28,giving away 2 tix to game 5 of the #worldseries all you have to do is rt to qualify . go #cardinals #redoctober winner anno …
2013-10-28,giving away 2 tix to game 5 of the #worldseries all you have to do is rt to qualify . go #cardinals #redoctober winner anno …
2013-10-28,#beavis and #buchholz #gocards #redoctober <USR> <USR> <URL>
2013-10-28,residents in fire affected nsw warned about people pretending to collect donations for local fire brigade . read : <URL>
2013-10-28,giving away 2 tix to game 5 of the #worldseries all you have to do is rt to qualify . go #cardinals #redoctober winner anno …
2013-10-28,there are handwritten signs like this all over the blue mts . #nswfires <USR> <URL>
2013-10-28,qualifying 2 final rt ' s for game 5 #worldseries #redoctober rt now to enter . winner announced mon morning at 8:50 http :// t …
2013-10-28,"if you feel you must light a fire in australia today , please remember to use your pubic hair as kindling ."
2013-10-28,qualifying 2 final rt ' s for game 5 #worldseries #redoctober rt now to enter . winner announced mon morning at 8:50 http :// t …
2013-10-28,giving away 2 tix to game 5 of the #worldseries all you have to do is rt to qualify . go #cardinals #redoctober winner anno …
2013-10-28,i ' ll use #nswrfs ' phone app / s <URL> not american tv for my #nswfire updates official updates =@ nswrfs http :// t …
2013-10-28,social media and village crisis comms – local gov councils and emergency services #nswfires <URL>
2013-10-28,check out our chalk mural #shoutout to the #stl <USR> ! go red birds ! #postcards #worldseries #redoctober <URL>
2013-10-28,great time listening to <USR> <USR> <USR> <USR> for the #redoctober pre - game show . great local talents ! <USR>
2013-10-14,bailey defends under - fire culture <URL> ( daily telegraph ) #news #sydney
2013-10-14,fire protection engineer sydney <URL> #careersjobs
2013-10-14,blaze hits australia olympic park : a fire in australia ' s olympic park destroyed or damaged around 80 cars and . . . <URL>
